FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
TYTONIDAE,TYTAL,Tyto alba,Lechuza de los campanarios,R,,,,,,,,,,
STRIGIDAE,ATHCU,Athene cunicularia,Lechuza de los arenales,R,,,,,,,5,,,5
STRIGIDAE,ASIFL,Asio flammeus,Lechuza de Oreja Corta,Acc,,,,,,,,,,
ALCEDINIDAE,CHLAM,Chloroceryle americana,Martín pescador,Ml,,,,,,,,,,
FALCONIDAE,CARPL,Caracara plancus,Carancho,Acc,,,,,,,,,,
FALCONIDAE,MILCH,Milvago chimachima,Cara cara cabeza amarilla,Acc,,,,,,,,,,
FALCONIDAE,FALSP,Falco sparverius,Cernícalo,R,,,,3,,,2,,1,6
FALCONIDAE,FALFE,Falco femoralis,"Halcón aplomado, Halcón perdiguero",Ma,,,,,,,,,,
FALCONIDAE,FALPE,Falco peregrinus,Halcón Peregrino,Mb,,,,,,,,,,0
PSITTACIDAE,BROVE,Brotogeris versicolorus,"Pihuicho, Perico ala blanca",Ml,,,,,,,,,,
PSITTACIDAE,FORCO,Forpus coelestis,Perico esmeralda,Ml,,,,,,,,,,
PSITTACIDAE,PSIWA,Psittacara wagleri,Cotorra de wagler,Ml,,,,,,,,,,
PSITTACIDAE,PSIER,Psittacara erythrogenys,Cotorra cabeza roja,Ml,,,,,,,,,,
FURNARIIDAE,GEOPE,Geositta peruviana,Pampero peruano,Ml,,,,,,,,,,
FURNARIIDAE,PHLME,Phleocryptes melanops,Totorero,R,,2,1,1,3,,1,12,,20
TYRANNIDAE,CAMOB,Camptostoma obsoletum,Mosqueta silbadora,R,,,,,,,,,,
TYRANNIDAE,TACRU,Tachuris rubrigastra,Siete colores de la totora,R,,13,,,6,,,,2,21
TYRANNIDAE,MYIFA,Myiophobus fasciatus,Mosqueta modesta,Ml,,,,,,,,,,
TYRANNIDAE,PYRRU,Pyrocephalus rubinus,"Turtupillín, putilla",R,,,,,,,5,1,5,11
TYRANNIDAE,LESOR,Lessonia oreas,Negrito,R,,,,,,,,,,
TYRANNIDAE,MUSMA,Muscisaxicola maclovianus,Dormilona cabeza oscura,Ml,,,,,,,,,,
TYRANNIDAE,MUSBR,Muscigralla brevicauda,Dormilona cola corta,R,,,,,,,,,,
TYRANNIDAE,TYRME,Tyrannus melancholicus,Tirano tropical o pepite,R,,,,1,,,,,,1
TYRANNIDAE,TYRSA,Tyrannus savana,Atrapamoscas cola de tijera,Acc,,,,,,,,,,
TYRANNIDAE,TYRTY,Tyrannus tyrannus,Atrapamoscas migratorio,Mb,,,,,,,,,,
CORVIDAE,CYAMY,Cyanocorax mystacalis,Urraca,Acc,,,,,,,,,,
HIRUNDINIDAE,PYGCY,Pygochelidon cyanoleuca,Santa Rosita,R,15,25,2,8,7,,5,,,62
HIRUNDINIDAE,PROTA,Progne tapera,Martin pechipardo,Acc,,,,,,,,,,
HIRUNDINIDAE,PROSU,Progne subis,Golondrina purpúrea,Mb,,,,,,,,,,
HIRUNDINIDAE,PROEL,Progne elegans,"Golondrina negra, Golondrina del Sur",Acc,,,,,,,,,,
HIRUNDINIDAE,RIPRI,Riparia riparia,Golondrina ribereña,Ma,,,,,,,,,,
HIRUNDINIDAE,HIRRU,Hirundo rustica,Golondrina migratoria,Mb,,,,,2,,,,,2
HIRUNDINIDAE,PETRU,Petrochelidon rufocollaris,Golondrina de cuello castaño,Ml,,,,,,,,,,
TROGLODYTIDAE,TROAE,Troglodytes aedon,Cucarachero,R,1,7,,,,,,9,3,20
TURDIDAE,TURCH,Turdus chiguanco,"Chiguanco, zorzal",Ml,,,,,,,,,,
MIMIDAE,MIMLO,Mimus longicaudatus,Chisco,R,,,,1,6,,6,,,13
MOTACILLIDAE,ANTPE,Anthus peruvianus,"Chichirre, cachirla amarilla",R,,,,,,,,,,0
THRAUPIDAE,CONCI,Conirostrum cinereum,Mielerito gris,R,,,,,,,,,,
THRAUPIDAE,SICFL,Sicalis flaveola,"Botón de oro, Chirigüe azafranado",Ml,,,,,,,,,,0
THRAUPIDAE,SICLU,Sicalis luteola,Triguero común,R,,6,,,1,,1,6,6,20
THRAUPIDAE,SICRA,Sicalis raimondii,"Trile bajoandino, Chirigüe de Raimondi",Ml,,,,,,,,,,
THRAUPIDAE,VOLJA,Volatinia jacarina,Saltapalito,R,4,,,1,,,1,,,6
THRAUPIDAE,SPOPE,Sporophila peruviana,Espiguero pico de loro,Ml,,,,,,,,,,
THRAUPIDAE,SPOTE,Sporophila telasco,Espiguero corbatón,Ml,,,,,,,,2,3,5
THRAUPIDAE,SPOSI,Sporophila simplex,Espiguero simple,Ml,,,,,,,,,,0
THRAUPIDAE,SALST,Saltator striatipectus,Saltador listado,Ml,,,,,,,,,,
THRAUPIDAE,COEFL,Coereba flaveola,Mielerito,Ml,,,,,,,,,,0
THRAUPIDAE,THREP,Thraupis episcopus,"Violinista celeste, Luisa",Ml,,,,,,,,,,0
THRAUPIDAE,THRPA,Thraupis palmarum,"Violinista verde, Violinista de Palmer",Acc,,,,,,,,,,
EMBERIZIDAE,ZONCA,Zonotrichia capensis,"Gorrión americano, Pichisanka, Chingolo",R,,,,,,,,,,0
ICTERIDAE,DIVWA,Dives warszewiczi,"Tordo grande, tordo negro",Ml,3,,,1,2,,15,,5,26
ICTERIDAE,MOLBO,Molothrus bonariensis,Tordo parásito,R,,,,,,,,,,0
ICTERIDAE,CHRIC,Chrysomus icterocephalus,Tordo amazónico cabeza amarilla,R,,3,,2,1,,15,,,21
ICTERIDAE,STURBE,Sturnella bellicosa,"Huanchaco, Pecho colorado",R,,,,,1,,8,,,9
FRINGILLIDAE,SPIMA,Spinus magellanicus,Jilguero cabeza negra,R,,,,,,,,,,
PASSERIDAE,PASDO,Passer domesticus,Gorrion europeo,R,,,,1,,,,,18,19
